location;iso_code;date;pessoas totalmente vacinada;vacinas diarias
Brazil;BRA;17/01/2021;;
Brazil;BRA;18/01/2021;;997
Brazil;BRA;19/01/2021;;6708
Brazil;BRA;20/01/2021;;35237
Brazil;BRA;21/01/2021;;48397
Brazil;BRA;22/01/2021;;92431
Brazil;BRA;23/01/2021;;95526
Brazil;BRA;24/01/2021;;87692
Brazil;BRA;25/01/2021;;114379
Brazil;BRA;26/01/2021;;147460
Brazil;BRA;27/01/2021;;174532
Brazil;BRA;28/01/2021;;195628
Brazil;BRA;29/01/2021;;208792
Brazil;BRA;30/01/2021;;210465
Brazil;BRA;31/01/2021;;210024
Brazil;BRA;01/02/2021;;212970
Brazil;BRA;02/02/2021;;210851
Brazil;BRA;03/02/2021;;210655
Brazil;BRA;04/02/2021;;215973
Brazil;BRA;05/02/2021;1962;211081
Brazil;BRA;06/02/2021;19677;215308
Brazil;BRA;07/02/2021;25688;217346
Brazil;BRA;08/02/2021;33616;218237
Brazil;BRA;09/02/2021;50655;228375
Brazil;BRA;10/02/2021;80760;229243
Brazil;BRA;11/02/2021;109866;231604
Brazil;BRA;12/02/2021;178468;246260
Brazil;BRA;13/02/2021;194230;240466
Brazil;BRA;14/02/2021;217869;241206
Brazil;BRA;15/02/2021;285620;255676
Brazil;BRA;16/02/2021;557532;251887
Brazil;BRA;17/02/2021;723755;257121
Brazil;BRA;18/02/2021;894673;262717
Brazil;BRA;19/02/2021;1056807;241137
Brazil;BRA;20/02/2021;1132894;244837
Brazil;BRA;21/02/2021;1171276;247768
Brazil;BRA;22/02/2021;1294188;241018
Brazil;BRA;23/02/2021;1435594;238305
Brazil;BRA;24/02/2021;1596945;227474
Brazil;BRA;25/02/2021;1755018;223804
Brazil;BRA;26/02/2021;1884206;215553
Brazil;BRA;27/02/2021;1914940;211824
Brazil;BRA;28/02/2021;1923197;205292
Brazil;BRA;01/03/2021;2034734;220567
Brazil;BRA;02/03/2021;2163103;246521
Brazil;BRA;03/03/2021;2321824;277239
Brazil;BRA;04/03/2021;2468014;295339
Brazil;BRA;05/03/2021;2617603;322071
Brazil;BRA;06/03/2021;2688684;342446
Brazil;BRA;07/03/2021;2720738;354715
Brazil;BRA;08/03/2021;2852528;359495
Brazil;BRA;09/03/2021;2991584;354116
Brazil;BRA;10/03/2021;3167810;348775
Brazil;BRA;11/03/2021;3314668;349146
Brazil;BRA;12/03/2021;3470065;348740
Brazil;BRA;13/03/2021;3553762;341863
Brazil;BRA;14/03/2021;3568455;334036
Brazil;BRA;15/03/2021;3675786;343726
Brazil;BRA;16/03/2021;3796406;348952
Brazil;BRA;17/03/2021;3923217;352513
Brazil;BRA;18/03/2021;4031855;353489
Brazil;BRA;19/03/2021;4113848;372233
Brazil;BRA;20/03/2021;4143856;379994
Brazil;BRA;21/03/2021;4161881;384814
Brazil;BRA;22/03/2021;4252255;400504
Brazil;BRA;23/03/2021;4339819;422691
Brazil;BRA;24/03/2021;4450408;462584
Brazil;BRA;25/03/2021;4552411;509678
Brazil;BRA;26/03/2021;4648917;564920
Brazil;BRA;27/03/2021;4679944;582626
Brazil;BRA;28/03/2021;4702964;605225
Brazil;BRA;29/03/2021;4825484;656237
Brazil;BRA;30/03/2021;4955061;684659
Brazil;BRA;31/03/2021;5093555;707501
Brazil;BRA;01/04/2021;5241777;746494
Brazil;BRA;02/04/2021;5280371;657632
Brazil;BRA;03/04/2021;5353128;659057
Brazil;BRA;04/04/2021;5400335;670533
Brazil;BRA;05/04/2021;5602236;642538
Brazil;BRA;06/04/2021;5885883;683680
Brazil;BRA;07/04/2021;6105595;686399
